	Genre	Accuracy	Precision	Recall	F1
0	pop	0.7702536897634995	0.6831744642603719	0.8283419967736153	0.7487872139785539
1	rap	0.9348764151502579	0.860442714667964	0.9205625474948732	0.8894879248433398
2	rock	0.8448135854424752	0.6320539073289204	0.4183279489401938	0.5034470332754876
3	rb	0.955248651532215	0.5370882922778855	0.24820926068048094	0.3395153529874902
4	misc	0.9826121747377156	0.861498484192291	0.6997326579428732	0.7722349470088123
5	country	0.9777636180427953	0.6127204030226701	0.3403287862889122	0.43759838093096476
