	Genre	Accuracy	Precision	Recall	F1
0	pop	0.7766403888329085	0.6960795708264771	0.8158666427675211	0.7512279172938288
1	rap	0.9385869243079841	0.8701423756792076	0.9218637768964117	0.8952566772478214
2	rock	0.8467725683124889	0.623697560359526	0.46694507918997713	0.534056704096898
3	rb	0.9557258016715073	0.5442315014595761	0.2742389357892044	0.36470338082075265
4	misc	0.985747732795922	0.9064039408866995	0.7378640776699029	0.8134962187318209
5	country	0.9784482247643886	0.6251678496067523	0.3799696863705258	0.47266134880348076
6	Average	0.9136536067808665	0.7109537998030397	0.5994580331139239	0.6385670411657671
