	Genre	Accuracy	Precision	Recall	F1
0	pop	0.52	0.15	0.3	0.2
1	rap	0.68	0.2857142857142857	0.4	0.3333333333333333
2	rock	0.64	0.16666666666666666	0.2	0.1818181818181818
3	rb	0.8	0.5	0.1	0.16666666666666669
4	misc	1.0	0.0	0.0	0.0
5	country	0.8	0.5	0.1	0.16666666666666669
6	Average	0.7400000000000001	0.26706349206349206	0.18333333333333332	0.17474747474747476
