	Genre	Accuracy	Precision	Recall	F1
0	pop	0.64	0.16666666666666666	0.2	0.1818181818181818
1	rap	0.64	0.2777777777777778	0.5	0.35714285714285715
2	rock	0.76	0.3333333333333333	0.2	0.25
3	rb	0.72	0.25	0.2	0.22222222222222224
4	misc	1.0	0.0	0.0	0.0
5	country	0.76	0.3333333333333333	0.2	0.25
6	Average	0.7533333333333333	0.22685185185185183	0.21666666666666665	0.2101972101972102
